	Total Calories	Grains in Ounces	Vegetables in Cups	Fruits in Cups	Dairy in Cups	Protein Foods in Ounces	Oils in Teaspoons	Protein in Grams	% of Calories from Protein	Carbohydrate in Grams	% of Calories from Carbohydrate	Dietary Fiber in Grams	Total Sugars in Grams	Added Sugars in Grams	% of Calories from Added Sugars	Total Fat (% Calories Eaten )	Saturated Fat in Grams	% of Calories from Saturated Fat	Monounsaturated Fat in Grams	Polyunsaturated Fat in Grams	Linoleic Acid in Grams	 - Linolenic Acid in Grams	Omega 3- EPA in Milligrams	Omega 3- DHA in Milligrams	Cholesterol in Milligrams	Calcium in Milligrams	Potassium in Milligrams	Sodium in Milligrams	Copper in Micrograms	Iron in Milligrams	Magnesium in Milligrams	Phosphorus in Milligrams	Selenium in Micrograms	Zinc in Milligrams	Vitamin A in Micrograms RAE	Vitamin B6 in Milligrams	Vitamin B12 in Micrograms	Vitamin C in Milligrams	Vitamin D in Micrograms	Vitamin E in Milligrams AT	Vitamin K in Micrograms	Folate in Micrograms DFE	Thiamin in Milligrams	Riboflavin in Milligrams	Niacin in Milligrams	Choline in Milligrams
01/01/17	417	3.0	0.75	0.0	0.0	2.0	0.0	24	23	71	68	2	1	0	0	7	1	2	1	0	0	0.0	0	0	45	36	490	294	262	3	53	291	45	2	153	0.6	0.3	3	0	1	0	233	0.7	0.2	9	53
01/02/17	329	2.5	0.75	0.0	0.0	1.0	0.0	18	22	49	60	2	3	2	2	16	2	5	2	1	1	0.2	0	0	29	105	514	1225	170	3	44	172	23	2	111	0.4	1.0	24	0	1	48	129	0.2	0.2	4	60
01/03/17	452	4.0	1.5	0.0	0.0	0.0	0.0	11	10	97	86	3	2	0	0	2	0	1	0	0	0	0.0	0	0	0	39	241	10	267	4	45	151	24	2	13	0.5	0.0	60	0	0	6	311	0.6	0.1	5	11
01/04/17	702	4.5	0.25	0.0	0.0	2.0	0.0	33	19	113	64	4	3	2	1	15	3	4	4	3	3	0.3	0	3	82	60	540	1983	354	4	65	336	53	4	51	0.5	1.1	10	0	1	20	136	0.4	0.3	8	84
01/05/17	572	4.0	1.0	0.0	0.0	1.0	1.0	19	13	98	69	3	3	0	0	17	3	4	4	4	3	0.4	0	28	181	73	713	487	443	5	47	291	39	3	104	0.7	0.7	3	1	3	7	326	0.7	0.3	5	128
01/06/17	799	5.0	0.25	0.0	0.0	4.0	2.0	54	27	89	45	3	5	4	2	26	6	6	9	6	5	0.7	10	20	120	123	708	2902	314	6	83	428	62	5	48	0.8	2.2	7	0	2	38	152	0.4	0.4	15	148
01/07/17	1502	3.0	1.25	0.0	0.5	2.0	0.0	46	12	270	72	7	7	0	0	5	3	2	2	1	1	0.2	0	0	65	198	1133	575	721	12	161	648	94	6	150	1.5	0.3	35	0	1	49	913	1.9	0.4	20	99
01/08/17	1466	1.5	0.75	1.0	0.0	4.0	1.0	65	18	259	71	7	31	2	1	9	3	2	5	4	3	0.5	4	6	122	192	1102	1986	733	12	158	686	104	6	179	1.7	1.2	21	0	2	77	731	1.4	0.6	23	159
01/09/17	406	3.0	0.25	0.0	0.0	1.0	0.0	19	18	76	74	1	18	17	17	6	1	1	1	1	1	0.1	2	2	33	87	211	390	183	3	35	200	30	1	3	0.5	0.1	0	0	0	0	199	0.4	0.2	7	34
01/10/17	1666	3.5	2.0	0.0	0.0	2.0	0.0	49	12	303	73	5	20	1	0	4	2	1	3	2	2	0.2	15	57	11	179	633	301	719	13	146	614	115	5	170	1.1	1.3	32	4	1	57	959	1.6	0.2	21	42
01/11/17	555	4.0	2.0	0.0	0.0	1.0	0.0	22	16	107	77	7	7	0	0	6	1	2	1	1	1	0.1	0	0	19	110	865	1175	427	6	86	316	34	3	180	0.8	0.2	51	0	1	90	373	0.8	0.3	8	88
01/12/17	693	4.0	0.5	0.0	0.0	6.0	0.0	62	36	86	50	3	2	0	0	12	2	3	3	2	1	0.1	3	6	161	80	1103	1309	347	5	102	633	95	4	97	1.7	0.7	18	0	1	31	292	1.1	0.6	22	159
01/13/17	553	3.5	1.0	0.25	0.0	3.0	0.0	36	26	89	65	2	4	0	0	7	1	2	1	1	1	0.1	2	3	77	57	602	447	260	4	67	347	53	3	122	1.0	0.3	25	0	1	10	291	0.7	0.2	13	76
01/14/17	2644	9.5	6.0	1.0	6.5	2.0	4.0	125	19	319	48	39	102	44	7	34	45	15	34	13	11	1.7	1	1	218	2389	3530	5046	1200	18	320	2383	123	16	1423	2.8	3.5	633	1	14	64	829	1.7	1.9	20	230
01/15/17	1622	9.5	0.5	0.0	2.25	4.5	5.0	88	22	153	38	13	24	15	4	40	26	14	28	14	14	1.5	3	0	182	1135	1716	2722	482	11	287	1518	107	10	600	2.0	7.0	56	4	22	48	413	1.7	1.3	25	147
01/16/17	1850	6.5	0.0	0.0	0.0	5.5	1.0	62	13	247	53	15	2	0	0	34	13	7	23	27	26	1.0	9	64	503	343	923	1676	585	10	262	1036	95	8	171	1.3	2.0	0	2	11	51	371	1.0	0.9	12	383
01/17/17	1676	4.5	0.5	0.0	0.0	2.0	4.0	107	25	138	33	6	15	13	3	31	26	14	24	12	10	1.3	9	35	444	153	1450	2440	572	11	121	962	119	17	300	2.2	6.5	76	2	4	53	421	1.0	1.2	24	421
01/18/17	728	6.0	1.0	0.0	0.0	1.0	0.0	25	14	143	79	4	3	0	0	6	1	1	2	1	1	0.2	0	0	22	83	665	647	444	7	87	355	49	3	80	0.8	0.3	14	0	1	45	484	1.1	0.3	11	56
01/19/17	1778	2.5	0.5	0.5	0.0	1.0	1.0	108	24	275	62	6	13	0	0	11	6	3	9	4	4	0.4	0	28	385	166	1735	1534	923	14	213	1299	209	11	120	2.7	1.9	11	2	2	13	948	3.1	1.0	37	346
01/20/17	535	4.5	0.5	0.0	0.5	1.0	1.0	23	17	89	67	4	4	2	1	17	3	6	3	2	1	0.3	0	0	49	63	419	1489	263	4	53	209	29	3	92	0.4	1.0	12	0	1	46	150	0.3	0.2	5	63
01/21/17	1183	6.0	2.75	0.0	0.0	4.0	2.0	58	20	175	59	10	17	0	0	22	6	4	11	10	9	0.9	9	22	123	137	1393	1274	575	8	166	720	83	5	120	1.6	0.6	30	0	3	35	501	1.4	0.6	23	178
01/22/17	466	2.0	0.5	0.0	0.0	2.5	0.0	37	32	67	58	7	2	0	0	9	1	3	2	1	1	0.1	0	0	54	66	558	500	404	5	82	352	51	3	4	0.6	0.5	1	1	0	3	213	0.8	0.4	11	117
01/23/17	430	2.0	0.5	0.0	0.0	3.0	0.0	35	32	57	53	2	2	0	0	13	2	4	2	1	1	0.1	0	0	80	54	633	1245	371	3	75	401	58	3	3	0.8	0.6	6	0	0	27	200	0.9	0.4	11	94
01/24/17	972	6.0	0.5	0.0	0.0	7.0	0.0	72	29	135	56	3	1	0	0	12	5	4	6	2	1	0.2	0	0	160	130	1344	1041	505	7	133	818	130	7	97	1.9	1.2	20	1	1	32	496	2.0	0.6	25	173
